lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_superiorfrontal,rh_volume_rostralmiddlefrontal
535.80394417899,481.984485973011,463.676945277623,595.553419712612
530.916157313756,472.999797474254,463.235212053571,593.85486101423
524.757376534598,461.662630948153,466.430507114955,591.424096679688
533.84139578683,475.910175670277,459.17766898019,588.47122366769
535.407261439732,475.186440207742,453.466456821987,590.692854527065
535.294261387416,479.262459494851,460.540867396763,589.575739397321
539.737655639648,487.595542214134,460.298819405692,588.159914725167
536.531640189035,479.849051735618,461.050349644252,594.389631870815
536.146937779018,474.728829123757,467.619062151228,589.598277064732
539.555180140904,484.390544544567,454.81884765625,588.221891566685
543.075611659459,491.811983975497,464.693372453962,587.391117640904
536.878553118025,480.528997247869,460.471073695592,586.57736554827
539.394897460938,486.282842462713,469.140969412667,589.466523960659
533.729224068778,481.198999578303,464.416796003069,590.609095110212
525.618589128767,468.280068137429,469.710732596261,586.847031947545
525.719079153878,461.679312966087,469.474317278181,591.298004150391
531.210268293108,470.890034068715,456.502716064453,592.220466831752
537.209577287946,484.335224498402,457.632337297712,591.162411063058
536.771074567522,479.685311057351,461.784938267299,594.543082101004
535.590044294085,479.06166492809,467.247009277344,596.369059535435
532.731100899833,477.477308793501,456.673928397042,594.15345023019
532.747183663504,478.568140203303,461.559099469866,590.46540788923
531.426021030971,468.904579856179,463.270586286272,593.790631975446
531.041996547154,471.052248868075,462.976610456194,591.012366594587
532.752454485212,478.51020119407,463.371002197266,589.730276053292
527.807987758092,465.712640935724,454.033918108259,594.317332240513
530.319137573242,468.128010142933,459.787187848772,593.102403913225
534.117560250419,474.54706920277,458.043766566685,591.102976771763
