rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral,rh_volume_rostralmiddlefrontal,rh_volume_caudalmiddlefrontal
722.5605374323413,702.7472197297332,740.654036718326,697.9046295166015,632.6653747558594,762.5253051757812
721.7466719417829,706.1490426992441,739.6068638122407,698.9940826416016,628.9310186978045,765.1854125976563
723.8862384060573,703.1588344821682,740.1467724745681,695.3714736938476,623.9960990116514,762.0205078125
721.1265301212602,704.19341565417,740.5176971662725,694.6824676513672,624.749413852034,759.0661865234375
724.7016912212287,708.3946430156757,741.9249228957865,693.2471740722656,636.2577893487338,764.1467529296875
722.2070166754615,707.4632754635501,739.3980960514646,690.0329345703125,642.036970467403,763.5154663085938
721.7153322365252,709.1610154981737,741.3943048292591,690.8683319091797,642.9695213580953,762.34072265625
727.2313369956252,708.8109535118202,743.7073283230992,696.2880920410156,647.5508927970097,765.69619140625
726.537416535108,707.0723853173193,748.1487217754052,695.0760681152344,645.1458540291621,770.764453125
727.0242216512227,710.1878761192421,745.5240039304823,695.8945831298828,640.8206303037446,770.2059936523438
725.6195578126095,705.5443737475903,746.3347992624894,697.0884765625,631.8909954202586,770.3864868164062
726.2987777641536,704.864577652572,745.396981289014,697.3439575195313,628.6012520625674,766.71796875
724.7573910700366,704.9814635437805,742.8003228805201,692.4625823974609,628.9544004242996,768.8568969726563
725.5161289505894,704.5719418216062,745.294186386222,695.2070404052735,627.9471067231277,762.9725952148438
724.7113868473891,707.1314257336901,746.6922771747296,696.4868957519532,628.4731803104795,766.2727172851562
725.0763536119675,707.335555039443,747.7570470615889,697.1135101318359,630.1734366581358,764.2503784179687
