id,time,value
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,1,824.495726068336
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,2,808.76754723974
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,3,819.901575295322
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,4,801.591490228492
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,5,809.898922104433
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,6,815.098789444889
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,7,802.043401143637
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,8,803.589764330761
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,9,808.580295792545
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,10,800.792109845633
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,11,805.630762307041
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,12,816.888677757907
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,13,801.128829036851
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,14,729.365781485316
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,15,643.951932976045
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,16,602.587063157415
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,17,600.975697896567
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,18,642.825917439288
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,19,687.445294115917
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,20,713.617072047957
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,21,749.19191438606
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,22,753.939161921122
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,23,753.944675675358
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,24,759.291401690747
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,25,745.542243681758
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,26,757.069907314806
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,27,759.297930246376
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,28,748.887614422534
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,29,748.389443271131
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,30,766.05205600233
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,31,752.077180058123
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,32,760.111800228257
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,33,757.227008130177
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,34,757.922966279179
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,35,763.023119823042
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,36,753.011704042733
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,37,755.364066618035
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,38,767.511367981692
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,39,755.824811452843
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,40,758.848510006824
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,41,755.125268407615
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,42,760.467143231128
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,43,758.535170221903
UPENN-GBM-00071_lh_volume_rostralmiddlefrontal,44,752.754057734846
UPENN-GBM-00071_lh_volume_superiorfrontal,0,882.918194452922
UPENN-GBM-00071_lh_volume_superiorfrontal,1,873.397505283356
UPENN-GBM-00071_lh_volume_superiorfrontal,2,878.820382118225
UPENN-GBM-00071_lh_volume_superiorfrontal,3,880.094725290934
UPENN-GBM-00071_lh_volume_superiorfrontal,4,882.613236109416
UPENN-GBM-00071_lh_volume_superiorfrontal,5,879.729181289673
UPENN-GBM-00071_lh_volume_superiorfrontal,6,878.604158878326
UPENN-GBM-00071_lh_volume_superiorfrontal,7,879.002850532532
UPENN-GBM-00071_lh_volume_superiorfrontal,8,882.161135991414
UPENN-GBM-00071_lh_volume_superiorfrontal,9,881.811685880025
UPENN-GBM-00071_lh_volume_superiorfrontal,10,879.519145965576
UPENN-GBM-00071_lh_volume_superiorfrontal,11,882.780998547872
UPENN-GBM-00071_lh_volume_superiorfrontal,12,887.330444018046
UPENN-GBM-00071_lh_volume_superiorfrontal,13,865.618318557739
UPENN-GBM-00071_lh_volume_superiorfrontal,14,849.418809572856
UPENN-GBM-00071_lh_volume_superiorfrontal,15,804.517026106517
