rh_volume_superiorfrontal,lh_volume_rostralmiddlefrontal,lh_volume_superiorfrontal,rh_volume_precentral
922.0237840440539,925.4492788673343,881.7104847989341,850.3107299804688
920.131443617079,922.9254008128231,878.7344418074733,851.6233723958334
920.0924669053819,921.4506142981967,880.8008205206819,854.4838460286459
921.7051222059462,924.0388587435385,879.8931772158128,848.8711344401041
920.6820387098525,922.3823682742011,880.7927305709484,850.1833699544271
919.6588165283204,922.9758837707061,880.904374848595,851.8791707356771
917.7861334906684,924.2339004860785,879.6478320691012,853.1531575520834
919.1970757378472,922.7644277013334,880.9481455721597,852.5804443359375
920.3976226806641,920.4303400713699,880.0819030288578,849.5775756835938
919.2848256429037,919.1900767849801,877.8018873584363,848.1033935546875
920.2823476155598,921.4662117635397,881.1388233746669,846.8330485026041
920.9313852945963,923.1959618589932,881.4321548343629,852.4072875976562
918.324996609158,927.5028227612488,879.9403632585393,843.5525919596354
920.8549197726779,922.6614439541236,881.6102151087089,848.5243733723959
922.7683186848958,919.6263987605734,880.375911836846,851.5650634765625
923.8139516194661,920.1552986776022,881.9088623046875,847.8746134440104
918.8668792724609,920.2526561765742,880.4551122857619,845.0985310872396
920.2505832248264,919.8904079351211,881.0784310274346,855.6053263346354
918.425873819987,925.2115450980968,879.4435839275981,844.1416625976562
919.1704464382595,922.5654673181979,879.3426236411398,854.3370971679688
918.2005259195963,922.7633951516976,879.9442164221475,856.2773234049479
916.1115332709419,920.3803141887923,881.0644262506056,851.4381917317709
920.6378139919705,918.9492045237606,880.1818542007328,851.9553019205729
918.9827521430121,915.7790683373473,878.5144085551417,844.9321492513021
919.7935896131728,916.8823356915237,880.5022246131601,847.1363118489584
921.4747595893012,919.508327398085,881.7324135477229,846.5012410481771
919.1529066297743,917.7597605769796,880.6251140269198,848.6178792317709
915.7359517415365,919.474202779899,880.438739723383,848.410888671875
917.2351060655382,918.4260813777609,881.7404911011688,848.3025309244791
920.8505815294054,920.4018917227149,882.0288706698159,847.4241739908854
917.20730726454,926.600621732554,882.3492978591328,852.8875325520834
918.0050126817491,922.0915325422932,879.745947265625,853.0439860026041
920.7255262586806,921.8237566266741,881.4003004443738,848.5963134765625
919.4767198350694,922.2147198440437,881.0470847906068,845.5553385416666
919.178374226888,923.7555454799107,881.3237440952034,841.7036743164062
914.8477064344618,921.3392981048813,881.6169629474019,848.6425374348959
921.2969414605035,925.0501786999237,883.6461198673692,846.6146850585938
918.1867068820529,921.5792800788593,881.6407501930414,848.7573649088541
920.294256930881,917.9854236115191,880.9827747433685,851.2219034830729
921.8324340820312,923.6162806919643,882.5475101441376,849.2662963867188
921.4817942301432,927.004295406485,882.2107037684714,848.7068684895834
922.1291415744357,922.2360201957531,881.5815238538638,848.0299886067709
920.8531565348308,918.3980570628231,878.4994276889535,850.1496175130209
921.5433966742621,918.2867706987195,882.5233930247699,847.1915079752604
918.4511569552951,916.6170470732495,879.7641726471657,844.6729329427084
922.6996317545573,923.0868337530839,882.0641945062682,850.5151774088541
915.0911248101129,925.0365504214639,883.2423667257146,850.3358357747396
918.5421149359809,923.8759797748767,881.1840679316558,849.8204345703125
920.0405303955079,923.2955524186443,882.0367052181747,846.5087076822916
922.4542151557075,923.3662967538476,881.1696906984314,847.6281331380209
922.259775797526,923.6064182367539,882.5114960899649,849.9482828776041
921.1796047634549,920.7091996042352,882.8845488319101,851.3606363932291
913.9720706515842,921.5749828367304,878.9821699748668,852.0701090494791
917.0705440945095,923.6303408056274,879.5615380102349,846.3152058919271
922.5759063720703,920.851154987077,883.2036061841388,849.4501546223959
921.8868130154079,920.0595060649671,879.4034776791121,848.3814493815104
924.0770657009549,922.3992786837699,880.5556239401648,851.1133015950521
925.6375040690104,923.3794183946194,883.7854097588117,845.4712320963541
925.6846055772569,916.9205042329946,880.3340011241825,846.5484415690104
925.7815436469184,920.7895090203536,879.4948029274165,848.0750122070312
924.9835232204861,920.1272482047403,880.6153891866521,844.1681722005209
925.0597212049696,921.9455075371534,879.9718146272407,839.0096435546875
923.5131873236762,920.7624456649436,882.445864844507,846.1946004231771
924.3356486002605,919.6408182015097,880.388924910671,846.7394002278646
920.7698567708334,915.6738772284716,880.59583503664,850.2109985351562
920.915970187717,924.2033282975506,881.8290589798329,851.7476603190104
917.2976142035591,921.3012039069843,880.0936628474745,854.0736490885416
918.4013699001736,924.2476017313792,880.9731422601744,850.8251546223959
918.1532196044922,923.1508688102091,881.2933230377907,849.3023885091146
920.181219821506,921.7992035141565,879.9726167900618,851.4850463867188
921.6347496880426,927.7491478023672,881.7683296617612,848.1546427408854
916.6549109564887,922.3311969498943,881.7380672957546,848.6565551757812
920.0144863552517,928.1703973067434,880.8439254405887,846.0832722981771
916.8281039767795,922.7834665398849,880.7740117036095,849.7779541015625
916.3288180881076,922.4212807103207,880.026676053779,844.4493001302084
918.7845608181424,919.3913220857319,881.4663577057595,851.6107177734375
918.787787882487,921.573957170759,880.7861832493036,848.4489542643229
912.7880784776476,923.9235330452597,879.3787554127301,853.2566528320312
919.5096513536241,921.7166339616131,880.3579676901647,849.496337890625
921.955369398329,916.8769467002467,881.2866430474807,847.8762817382812
915.6790398491753,921.7762666860021,882.8311044619065,844.7160034179688
916.2888583713108,919.5846438300341,881.218999250545,844.9073282877604
920.1089453803169,920.5460833786126,881.7598725548087,847.7334594726562
921.326606241862,919.7782702912066,881.260115086755,854.3091837565104
918.3020334879558,918.2272641748414,881.7488079692042,851.9136352539062
920.4883348253038,920.5170581788946,879.4048021893169,844.5362141927084
920.9219750298394,918.9467663298872,881.4838113947433,848.2794596354166
920.32417839898,921.8673793247768,879.456007184169,844.0768025716146
921.567694430881,921.7994393943844,881.2922434252362,849.4788208007812
922.0876688639323,922.4123732487958,882.1200200990189,844.7682291666666
918.7526353624132,920.7915516329887,879.7097302340721,845.8485717773438
924.3386518690321,919.0367959388217,880.7379917824916,852.67724609375
925.7813673231337,917.1637977083823,881.8374970665274,850.6393025716146
927.2424397786458,926.3301524685738,883.9191355150799,843.62841796875
926.5640180799696,927.7099086216518,883.4628875022711,845.9285278320312
924.556637234158,923.3158973177573,883.3607658445374,850.6717732747396
921.3140428331163,918.1833441024436,883.797531908612,847.0445760091146
920.9517083062066,918.366870851445,882.1693019659945,846.6727701822916
923.1685329861111,920.3703090122768,884.5782483951066,851.1749877929688
922.1662370469835,919.5920992973156,885.4818894970325,849.1645304361979
924.4024922688802,921.2727454622885,884.123268210241,849.1777750651041
920.4703538682726,914.1428319027549,881.9603230794271,852.5003662109375
919.599129570855,918.5243663357613,881.0753179505814,847.0979614257812
915.7632103814019,918.1494200283423,880.4036014527313,844.1309611002604
917.941086493598,924.4622004229324,882.097747566164,848.7350260416666
918.722307671441,921.8428881652374,879.8942037419755,847.9991455078125
919.2282304551866,916.7942771051163,880.1688965790031,847.4514973958334
919.1511043972439,919.1166533276551,881.7292064104894,843.2493896484375
917.268643866645,918.7236484154723,883.0321862509085,844.0365193684896
915.0911675347222,915.9893858486548,881.130095252695,849.47705078125
917.5889889187283,915.05615234375,882.0332843159521,845.0245768229166
